title,texto_lemmatizado
The Last Temptation of Christ,"['[', ""'Drama"", ""'"", ']', 'Jesus', ',', 'humble', 'Judean', 'carpenter', 'beginning', 'see', 'son', 'God', ',', 'drawn', 'revolutionary', 'action', 'Roman', 'occupier', 'Judas', '--', 'despite', 'protestation', 'love', ',', 'violence', ',', 'path', 'salvation', '.', 'burden', 'savior', 'mankind', 'torment', 'Jesus', 'throughout', 'life', ',', 'leading', 'doubt', '.', 'put', 'death', 'cross', ',', 'Jesus', 'tempted', 'vision', 'ordinary', 'life', 'married', 'Mary', 'Magdalene', '.']"
The Godfather: Part III,"['[', ""'Crime"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Thriller"", ""'"", ']', 'midst', 'trying', 'legitimize', 'business', 'dealing', '1979', 'New', 'York', 'Italy', ',', 'aging', 'mafia', ',', 'Michael', 'Corleone', 'seek', 'forgiveness', 'sin', 'taking', 'young', 'protege', 'wing', '.']"
The Rapture,"['[', ""'Mystery"", ""'"", ',', ""'Drama"", ""'"", ']', 'lonely', 'telephone', 'operator', 'leading', 'empty', ',', 'amoral', 'life', 'find', 'God', '—', 'faith', 'continually', 'tested', 'way', 'beyond', 'could', 'ever', 'imagined', '.']"
Lolita,"['[', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'Urbane', 'professor', 'Humbert', 'Humbert', 'marries', 'New', 'England', 'widow', 'near', 'nymphet', 'daughter', '.']"
Disturbing Behavior,"['[', ""'Mystery"", ""'"", ',', ""'Horror"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ']', 'Steve', 'Clark', '(', 'James', 'Marsden', ')', 'newcomer', 'town', 'Cradle', 'Bay', ',', 'quickly', 'realizes', ""'s"", 'something', 'odd', 'high', 'school', 'classmate', '.', 'clique', 'known', '``', 'Blue', 'Ribbons', ""''"", 'eerie', 'embodiment', 'academic', 'excellence', 'clean', 'living', '.', ',', 'like', 'rest', 'town', ',', ""'re"", 'little', 'perfect', '.', 'Steve', ""'s"", 'rebellious', 'friend', 'Gavin', '(', 'Nick', 'Stahl', ')', 'mysteriously', 'join', 'rank', ',', 'Steve', 'search', 'truth', 'fellow', 'misfit', 'Rachel', '(', 'Katie', 'Holmes', ')', '.']"
Jane Austen's Mafia!,"['[', ""'Comedy"", ""'"", ',', ""'Crime"", ""'"", ']', 'Takeoff', 'Godfather', 'son', 'mafia', 'king', 'taking', 'dying', 'father', '.']"
Saving Private Ryan,"['[', ""'Drama"", ""'"", ',', ""'History"", ""'"", ',', ""'War"", ""'"", ']', 'U.S.', 'troop', 'storm', 'beach', 'Normandy', ',', 'three', 'brother', 'lie', 'dead', 'battlefield', ',', 'fourth', 'trapped', 'behind', 'enemy', 'line', '.', 'Ranger', 'captain', 'John', 'Miller', 'seven', 'men', 'tasked', 'penetrating', 'German-held', 'territory', 'bringing', 'boy', 'home', '.']"
Billy's Hollywood Screen Kiss,"['[', ""'Comedy"", ""'"", ',', ""'Romance"", ""'"", ']', 'Billy', ',', 'struggling', 'young', 'gay', 'photographer', '(', 'like', 'Polaroids', ')', ',', 'tired', '``', 'man', ""''"", ',', 'fall', 'love', 'Gabriel', ',', 'waiter', 'aspiring', 'musician', 'probably', 'straight', 'possibly', 'gay', 'least', 'curious', '.', 'Billy', 'try', 'get', 'Gabriel', 'model', 'latest', 'project', ',', 'series', 'remake', 'famous', 'Hollywood', 'screen', 'kiss', ',', 'featuring', 'male', 'couple', ',', 'also', 'trying', 'win', 'affection', '.']"
East Palace West Palace,"['[', ""'Drama"", ""'"", ']', 'China', ',', 'homosexuality', ""n't"", 'illegal', ',', 'homosexual', 'routinely', 'persecuted', 'police', 'arrested', '``', 'hooliganism', ""''"", '.', 'film', 'focus', 'young', 'gay', 'writer', 'A-Lan', ',', 'attracted', 'young', 'policeman', ',', 'manages', 'interrogated', 'whole', 'night', '.', 'life-story', 'tell', 'interrogation', 'reflects', 'general', 'repression', 'Chinese', 'society', '.', 'policeman', ""'s"", 'attitude', 'shift', 'initial', 'revulsion', 'fascination', ',', 'finally', ',', 'attraction', '.']"
The Million Dollar Duck,"['[', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ']', 'Professor', 'Dooley', 'take', 'home', 'duck', 'research', 'laboratory', 'toy', 'son', ',', 'soon', 'find', 'lay', 'golden', 'egg', '.']"
The Barefoot Executive,"['[', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ']', 'great', 'Disney', 'tradition', 'wild', 'family', 'fun', ',', 'young', 'Kurt', 'Russell', 'star', 'Steven', 'Post', '-', 'ambitious', 'mailroom', 'clerk', 'second-rate', 'TV', 'network', '.', 'eye', 'boardroom', ',', 'getting', 'nowhere', 'studio', ""'s"", 'top', 'dog', ',', 'make', 'career-changing', 'discovery', '.', 'girlfriend', ""'s"", 'lovable', 'pet', 'chimp', 'pick', 'hit', 'show', 'every', 'time', '!', 'secret', 'success', 'turn', 'madcap', 'monkey', 'business', 'make', 'vice', 'president', 'jealous', 'rival', 'want', 'act', '.', 'Ride', 'along', 'narrow', 'escape', 'classic', 'cast', 'featuring', 'Joe', 'Flynn', 'Harry', 'Morgan', 'comedic', 'climb', 'corporate', 'ladder', 'leave', 'howling', '!']"
The Black Cauldron,"['[', ""'Animation"", ""'"", ']', 'Taran', 'assistant', 'pigkeeper', 'boyish', 'dream', 'becoming', 'great', 'warrior', '.', 'However', ',', 'put', 'daydreaming', 'aside', 'charge', ',', 'oracular', 'pig', 'named', 'Hen', 'Wen', ',', 'kidnapped', 'evil', 'lord', 'known', 'Horned', 'King', '.', 'villain', 'hope', 'Hen', 'show', 'way', 'Black', 'Cauldron', ',', 'power', 'create', 'giant', 'army', 'unstoppable', 'soldier', '.']"
The Black Hole,"['[', ""'Adventure"", ""'"", ',', ""'Family"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ',', ""'Action"", ""'"", ']', 'explorer', 'craft', 'U.S.S', '.', 'Palomino', 'returning', 'Earth', 'fruitless', '18-month', 'search', 'extra-terrestrial', 'life', 'crew', 'come', 'upon', 'supposedly', 'lost', 'ship', ',', 'magnificent', 'U.S.S', '.', 'Cygnus', ',', 'hovering', 'near', 'black', 'hole', '.', 'ship', 'controlled', 'Dr.', 'Hans', 'Reinhardt', 'monstrous', 'robot', 'companion', ',', 'Maximillian', '.', 'initial', 'wonderment', 'awe', 'Palomino', 'crew', 'feel', 'ship', 'resistance', 'power', 'black', 'hole', 'turn', 'horror', 'uncover', 'Reinhardt', ""'s"", 'plan', '.']"
Blackbeard's Ghost,"['[', ""'Fantasy"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ']', 'Peter', 'Ustinov', 'star', 'eponymous', 'wraith', ',', 'return', 'Earth', 'aid', 'descendant', ',', 'elderly', 'Elsa', 'Lanchester', '(', 'Stowecroft', ')', '.', 'villain', 'want', 'kick', 'Lanchester', 'friend', 'group', 'home', 'build', 'crooked', 'casino', '.', 'Good', 'guy', 'Steve', 'Walker', '(', 'Jones', ')', 'get', 'caught', 'middle', 'squabble', 'evoking', 'Blackbeard', ""'s"", 'ghost', '.']"
Blank Check,"['[', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ']', 'Bullied', 'sibling', 'nagged', 'parent', ',', '11-year-old', 'Preston', 'fed', 'family', '--', 'especially', 'frugality', '.', 'get', 'chance', 'teach', 'lesson', 'money-laundering', 'criminal', 'nearly', 'bulldozes', 'Preston', 'car', 'give', 'boy', 'blank', 'check', 'compensation', '.', 'Preston', 'make', 'check', '$', '1', 'million', 'go', 'spending', 'spree', ""'ll"", 'never', 'forget', '.', 'Maybe', ',', 'family', 'take', 'seriously', '!']"
Candleshoe,"['[', ""'Family"", ""'"", ']', 'Candleshoe', '1977', 'Walt', 'Disney', 'Productions', 'live', 'action', 'movie', 'based', 'Michael', 'Innes', 'novel', 'Christmas', 'Candleshoe', 'starring', 'Jodie', 'Foster', ',', 'Helen', 'Hayes', 'last', 'screen', 'appearance', ',', 'David', 'Niven', 'Leo', 'McKern', '.']"
The Cat from Outer Space,"['[', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ']', 'UFO', 'stranded', 'earth', 'impounded', 'US', 'government', '.', 'pilot', ',', 'cat', 'collar', 'give', 'special', 'power', ',', 'including', 'ability', 'communicate', 'human', ',', 'eluded', 'authority', 'seek', 'help', 'scientist', 'order', 'reclaim', 'repair', 'ship', 'get', 'back', 'home', '.']"
Cheetah,"['[', ""'Drama"", ""'"", ',', ""'Family"", ""'"", ']', 'American', 'boy', 'girl', ',', 'spending', 'six', 'month', 'Kenya', 'scientist', 'parent', 'adopt', 'cheetah', ',', 'realize', 'must', 'set', 'loose', 'learn', 'hunt', 'free', '.', 'However', ',', 'animal', 'captured', 'poacher', 'planning', 'race', 'greyhound', ',', 'two', 'city', 'kid', ',', 'together', 'young', 'African', 'goat', 'herder', 'befriended', ',', 'head', 'wild', 'rescue', 'cheetah', '.']"
The Computer Wore Tennis Shoes,"['[', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ']', 'college', 'student', 'manage', 'persuade', 'town', ""'s"", 'big', 'businessman', ',', 'A.', 'J.', 'Arno', ',', 'donate', 'computer', 'college', '.', 'problem-', 'student', ',', 'Dexter', 'Riley', ',', 'try', 'fix', 'computer', ',', 'get', 'electric', 'shock', 'brain', 'turn', 'computer', ';', 'remembers', 'everything', 'read', '.', 'Unfortunately', ',', 'also', 'remembers', 'information', 'computer', ""'s"", 'memory', ',', 'like', 'Arno', ""'s"", 'illegal', 'business', '..']"
Condorman,"['[', ""'Comedy"", ""'"", ',', ""'Action"", ""'"", ',', ""'Adventure"", ""'"", ']', 'Comic', 'artist', 'writer', 'Woody', 'performs', 'simple', 'courier', 'operation', 'friend', 'Harry', 'work', 'CIA', '.', 'successfully', 'fends', 'hostile', 'agent', ',', 'earns', 'respect', 'beautiful', 'Natalia', ',', 'request', 'assistance', 'defection', '.', 'Woody', 'us', 'request', 'leverage', 'use', 'CIA', ""'s"", 'resource', 'bring', 'comic', 'book', 'creation', ',', 'Condorman', ',', 'life', 'battle', 'evil', 'Krokov', '.']"
D2: The Mighty Ducks,"['[', ""'Action"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Family"", ""'"", ']', 'Gordon', 'Bombay', ""'s"", 'hockey', 'comeback', 'cut', 'short', 'named', 'coach', 'Team', 'USA', 'Hockey', 'Junior', 'Goodwill', 'Games', '.', 'Bombay', 'reunites', 'Mighty', 'Ducks', 'introduces', 'new', 'player', ',', 'however', ',', 'find', 'distracted', 'newfound', 'fame', 'must', 'regather', 'Ducks', 'defeat', 'tournament', 'favourite', 'Iceland', '.']"
Darby O'Gill and the Little People,"['[', ""'Adventure"", ""'"", ',', ""'Fantasy"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ',', ""'Family"", ""'"", ']', 'Take', 'wee', 'bit', 'ancient', 'folklore', ',', 'mix', 'spectacular', 'special', 'effect', 'magical', 'cast', '(', 'including', 'Sean', 'Connery', ')', '--', ""'ve"", 'got', 'one', 'enchanting', 'fantasy', 'time', '!', 'frisky', 'old', 'storyteller', 'named', 'Darby', ""O'Gill"", 'desperately', 'seeking', 'proverbial', 'pot', 'gold', '.', ""'s"", 'one', 'tiny', 'thing', 'standing', 'way', ':', '21-inch', 'leprechaun', 'named', 'King', 'Brian', '.', 'order', 'get', 'gold', ',', 'Darby', 'must', 'match', 'wit', 'shrewd', 'little', 'trickster', '--', 'prof', 'small', 'task', ',', 'indeed', '!', 'Fall', 'spell', 'DARBY', ""O'GILL"", 'LITTLE', 'PEOPLE', 'fun-filled', 'evening', 'magic', ',', 'mirth', ',', 'nonstop', 'shenanigan', '!']"
The Devil and Max Devlin,"['[', ""'Fantasy"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ',', ""'Family"", ""'"", ']', 'Max', 'dy', 'accident', ',', 'go', 'straight', 'hell', '.', 'devil', 'Barney', 'make', 'offer', ':', 'manages', 'get', 'three', 'innocent', 'youth', 'sell', 'soul', 'next', 'two', 'month', ',', 'may', 'stay', 'earth', '.', 'Max', 'accepts', ',', 'return', 'earth', ',', 'equipped', 'special', 'power', '.', 'However', 'task', 'harder', 'expected', ',', 'especially', '7', 'year', 'old', 'Tobi', 'demand', 'marry', 'mother', '.', 'Written', 'Tom', 'Zoerner']"
A Far Off Place,"['[', ""'Drama"", ""'"", ',', ""'Adventure"", ""'"", ']', 'Thrown', 'together', 'incredible', 'circumstance', ',', 'two', 'stranger', 'must', 'discover', 'courage', 'strength', 'begin', 'journey', 'across', 'treacherous', 'African', 'desert', '!', 'Equipped', 'wit', 'expertise', 'native', 'bushman', 'befriends', ',', 'determined', 'triumph', 'impossible', 'odds', 'reach', 'destination', '.', 'along', 'way', ',', 'trio', 'face', 'primitive', 'desert', 'wilderness', '.']"
Flight of the Navigator,"['[', ""'Family"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ',', ""'Adventure"", ""'"", ']', '1986', 'Disney', 'adventure', 'tell', 'story', '12-year-old', 'David', 'life', 'family', 'Fort', 'Lauderdale', ',', 'Fla', '.', 'awakens', 'accidentally', 'knocked', 'forest', 'near', 'home', ',', 'find', 'eight', 'year', 'passed', '.', 'family', 'overjoyed', 'back', ',', 'perplexed', 'fact', ""n't"", 'aged', '.', 'NASA', 'scientist', 'discovers', 'UFO', 'nearby', ',', 'David', 'get', 'chance', 'unravel', 'mystery', 'recover', 'life', 'lost', '.']"
The Gnome-Mobile,"['[', ""'Fantasy"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ']', 'eccentric', 'millionaire', 'grandchild', 'embroiled', 'plight', 'forest', 'gnome', 'searching', 'rest', 'tribe', '.', 'helping', ',', 'millionaire', 'suspected', 'crazy', ""'s"", 'seeing', 'gnome', '!', ""'s"", 'committed', ',', 'niece', 'nephew', 'gnome', 'find', 'free', '.']"
The Great Mouse Detective,"['[', ""'Comedy"", ""'"", ',', ""'Animation"", ""'"", ',', ""'Family"", ""'"", ']', 'diabolical', 'Professor', 'Ratigan', 'kidnaps', 'London', ""'s"", 'master', 'toymaker', ',', 'brilliant', 'master', 'disguise', 'Basil', 'Baker', 'Street', 'trusted', 'sidekick', 'Dawson', 'try', 'elude', 'ultimate', 'trap', 'foil', 'perfect', 'crime', '.']"
The Happiest Millionaire,"['[', ""'Comedy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Family"", ""'"", ',', ""'Music"", ""'"", ']', 'happy', 'unbelievably', 'lucky', 'young', 'Irish', 'immigrant', ',', 'John', 'Lawless', ',', 'land', 'job', 'butler', 'unconventional', 'millionaire', ',', 'Biddle', '.', 'daughter', ',', 'Cordelia', 'Drexel', 'Biddle', ',', 'tire', 'unusual', 'antic', 'father', '--', 'especially', 'since', 'nice', 'young', 'men', 'around', 'town', 'fear', '.', 'Would', ""n't"", 'fear', 'father-in-law', 'keep', 'alligator', 'pet', 'teach', 'boxing', 'daily', 'Bible', 'class', '?']"
Herbie Goes Bananas,"['[', ""'Fantasy"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ',', ""'Adventure"", ""'"", ']', 'adorable', 'little', 'VW', 'help', 'owner', 'break', 'counterfeiting', 'ring', 'Mexico', '.']"
Herbie Goes To Monte Carlo,"['[', ""'Romance"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ',', ""'Action"", ""'"", ',', ""'Adventure"", ""'"", ']', 'Herbie', ',', 'Volkswagen', 'Beetle', 'mind', ',', 'racing', 'Monte', 'Carlo', 'Rally', '.', 'thief', 'hidden', 'cache', 'stolen', 'diamond', 'Herbie', ""'s"", 'gas', 'tank', ',', 'trying', 'get', 'back', '.']"
Hocus Pocus,"['[', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ',', ""'Fantasy"", ""'"", ']', '300', 'year', 'slumber', ',', 'three', 'sister', 'witch', 'accidentally', 'resurrected', 'Salem', 'Halloween', 'night', ',', 'u', 'three', 'kid', 'newfound', 'feline', 'friend', 'put', 'end', 'witch', ""'"", 'reign', 'terror', '.']"
Honey I Blew Up the Kid,"['[', ""'Adventure"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ']', 'Wayne', 'Szalinski', '.', 'instead', 'shrinking', 'thing', ',', 'try', 'make', 'machine', 'make', 'thing', 'grow', '.', 'first', 'one', ',', 'machine', ""n't"", 'quite', 'accurate', '.', 'brings', 'Nick', '&', 'toddler', 'son', 'Adam', 'see', 'invention', ',', 'machine', 'unexpectedly', 'start', 'working', '.', 'Adam', 'come', 'right', 'machine', ',', 'get', 'zapped', 'along', 'stuffed', 'bunny', '.']"
"Honey, I Shrunk the Kids","['[', ""'Adventure"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ']', 'scientist', 'father', 'teenage', 'girl', 'boy', 'accidentally', 'shrink', 'two', 'neighborhood', 'teen', 'size', 'insect', '.', 'teen', 'must', 'fight', 'diminutive', 'danger', 'father', 'search', '.']"
Hot Lead & Cold Feet,"['[', ""'Action"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ',', ""'Western"", ""'"", ']', 'Twin', 'brother', '--', 'one', 'rough', 'tough', ',', 'city-bred', 'milquetoast', '--', 'compete', 'father', ""'s"", 'fortune', '.']"
In Search of the Castaways,"['[', ""'Action"", ""'"", ',', ""'Adventure"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Family"", ""'"", ']', 'Search', 'Castaways', '1962', 'Walt', 'Disney', 'Productions', 'feature', 'film', 'starring', 'Hayley', 'Mills', 'Maurice', 'Chevalier', 'tale', 'worldwide', 'search', 'shipwrecked', 'sea', 'captain', '.', 'film', 'directed', 'Robert', 'Stevenson', 'screenplay', 'Lowell', ',', 'Hawley', 'based', 'upon', 'Jules', 'Verne', ""'s"", '1868', 'adventure', 'novel', 'Captain', 'Grant', ""'s"", 'Children', '.']"
The Incredible Journey,"['[', ""'Adventure"", ""'"", ',', ""'Family"", ""'"", ']', 'story', 'three', 'pet', ',', 'cat', 'two', 'dog', ',', 'lose', 'owner', 'vacation', '.', 'find', 'way', 'home', '?']"
The Negotiator,"['[', ""'Action"", ""'"", ',', ""'Adventure"", ""'"", ',', ""'Crime"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Mystery"", ""'"", ',', ""'Thriller"", ""'"", ']', 'police', 'try', 'arrest', 'expert', 'hostage', 'negotiator', 'Danny', 'Roman', ',', 'insists', ""'s"", 'framed', 'partner', ""'s"", 'murder', 'belief', 'elaborate', 'conspiracy', '.', 'Thinking', ""'s"", 'evidence', 'Internal', 'Affairs', 'office', 'might', 'clear', ',', 'take', 'everyone', 'office', 'hostage', 'demand', 'another', 'well-known', 'negotiator', 'brought', 'handle', 'situation', 'secretly', 'investigate', 'conspiracy', '.']"
The Parent Trap,"['[', ""'Comedy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Family"", ""'"", ']', 'Hallie', 'Parker', 'Annie', 'James', 'identical', 'twin', 'separated', 'young', 'age', 'parent', ""'"", 'divorce', '.', 'unknowingly', 'parent', ',', 'girl', 'sent', 'summer', 'camp', 'meet', ',', 'discover', 'truth', ',', 'plot', 'switch', 'place', '.', 'Hallie', 'meet', 'mother', ',', 'Annie', 'meet', 'father', 'first', 'time', 'year', '.']"
BASEketball,"['[', ""'Comedy"", ""'"", ']', 'Two', 'loser', 'Milwaukee', ',', 'Coop', '&', 'amp', ';', 'Remer', ',', 'invent', 'new', 'game', 'playing', 'basketball', ',', 'using', 'baseball', 'rule', '.', 'game', 'becomes', 'huge', 'success', ',', ',', 'along', 'billionaire', ""'s"", 'help', ',', 'form', 'Professional', 'Baseketball', 'League', 'everyone', 'get', 'pay', 'team', 'change', 'city', '.', 'team', 'standing', 'way', 'major', 'rule', 'change', 'owner', 'rival', 'team', 'want', 'institute', '.']"
Full Tilt Boogie,"['[', ""'Documentary"", ""'"", ']', 'documentary', 'production', 'Dusk', 'Till', 'Dawn', '(', '1996', ')', 'people', 'made', '.']"
The Governess,"['[', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'father', 'privileged', 'Rosina', 'da', 'Silva', 'violently', 'dy', ',', 'decides', 'pas', 'gentile', 'find', 'employment', 'family', 'faraway', 'Scotland', '.', 'Soon', 'family', 'father', ',', 'Charles', ',', 'start', 'passionate', 'secret', 'affair', '.']"
Seventh Heaven,"['[', ""'Drama"", ""'"", ']', 'bored', ',', 'sexually', 'frustrated', 'woman', ""'s"", 'life', 'improves', 'begin', 'hypnotherapy', 'try', 'feng', 'shui', ',', 'husband', ""'s"", 'life', 'unravels', '.']"
Roger & Me,"['[', ""'Documentary"", ""'"", ',', ""'History"", ""'"", ']', 'documentary', 'closure', 'General', 'Motors', ""'"", 'plant', 'Flint', ',', 'Michigan', ',', 'resulted', 'loss', '30,000', 'job', '.', 'Details', 'attempt', 'filmmaker', 'Michael', 'Moore', 'get', 'interview', 'GM', 'CEO', 'Roger', 'Smith', '.']"
The Purple Rose of Cairo,"['[', ""'Fantasy"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Romance"", ""'"", ']', 'Cecilia', 'waitress', 'New', 'Jersey', ',', 'living', 'dreary', 'life', 'Great', 'Depression', '.', 'escape', 'mudane', 'reality', 'movie', 'theatre', '.', 'losing', 'job', ',', 'Cecilia', 'go', 'see', ""'The"", 'Purple', 'Rose', 'Cairo', ""'"", 'hope', 'raising', 'spirit', ',', 'watch', 'dashing', 'archaeologist', 'Tom', 'Baxter', 'time', '.']"
Out of the Past,"['[', ""'Drama"", ""'"", ',', ""'Mystery"", ""'"", ',', ""'Thriller"", ""'"", ']', 'Jeff', 'Bailey', 'seems', 'mundane', 'gas', 'station', 'owner', 'remote', 'Bridgeport', ',', 'CA', '.', 'dating', 'local', 'girl', 'Ann', 'Miller', 'life', 'quiet', 'life', '.', 'Jeff', 'secret', 'past', ',', 'mysterious', 'stranger', 'arrives', 'town', ',', 'Jeff', 'forced', 'return', 'dark', 'world', 'tried', 'escape', '.']"
Doctor Zhivago,"['[', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ',', ""'War"", ""'"", ']', 'Doctor', 'Zhivago', 'filmed', 'adapation', 'Russian', 'novel', 'Boris', 'Pasternak', 'director', 'David', 'Lean', 'international', 'success', 'today', 'deemed', 'classic', '.', 'Omar', 'Sharif', 'Julie', 'Christie', 'play', 'two', 'protagonist', 'fact', 'love', 'yet', 'current', 'situation', 'find', 'way', 'together', '.']"
Fanny & Alexander,"['[', ""'Fantasy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Mystery"", ""'"", ']', 'eye', 'ten-year-old', 'Alexander', ',', 'witness', 'delight', 'conflict', 'Ekdahl', 'family', ',', 'sprawling', 'bourgeois', 'clan', 'turn-of-the-twentieth-century', 'Sweden', '.']"
The Trip to Bountiful,"['[', ""'Drama"", ""'"", ']', 'Carrie', 'Watts', 'living', 'twilight', 'life', 'trapped', 'apartment', '1940', ""'s"", 'Houston', ',', 'Texas', 'controlling', 'daughter-in-law', 'hen-pecked', 'son', '.', 'fondest', 'wish', '--', 'dy', '--', 'revisit', 'Bountiful', ',', 'small', 'Texas', 'town', 'youth', 'still', 'refers', '``', 'home', '.', ""''""]"
Tender Mercies,"['[', ""'Drama"", ""'"", ',', ""'Music"", ""'"", ',', ""'Romance"", ""'"", ']', 'Alchoholic', 'former', 'country', 'singer', 'Mac', 'Sledge', 'make', 'friend', 'young', 'widow', 'son', '.', 'friendship', 'enables', 'find', 'inspiration', 'resume', 'career', '.']"
And the Band Played On,"['[', ""'Drama"", ""'"", ']', 'story', 'discovery', 'AIDS', 'epidemic', 'political', 'infighting', 'scientific', 'community', 'hampering', 'early', 'fight', '.']"
The 'Burbs,"['[', ""'Comedy"", ""'"", ',', ""'Horror"", ""'"", ',', ""'Thriller"", ""'"", ']', 'secretive', 'new', 'neighbor', 'move', 'next', 'door', ',', 'suburbanite', 'Ray', 'Peterson', 'friend', 'let', 'paranoia', 'get', 'best', 'start', 'suspect', 'newcomer', 'evildoing', 'commence', 'investigation', '.', ""'s"", 'hardly', 'Ray', ',', 'much', 'prefers', 'drinking', 'beer', ',', 'reading', 'newspaper', 'watching', 'ball', 'game', 'tube', 'expected', 'spend', 'vacation', '.']"
Fandango,"['[', ""'Comedy"", ""'"", ',', ""'Drama"", ""'"", ']', 'Five', 'college', 'buddy', 'University', 'Texas', 'circa', '1971', 'embark', 'final', 'road', 'trip', 'odyssey', 'across', 'Mexican', 'border', 'facing', 'uncertain', 'future', ',', 'Vietnam', 'otherwise', '.']"
The Night Porter,"['[', ""'Drama"", ""'"", ']', 'unsettling', 'drama', 'Italian', 'filmmaker', 'Liliana', 'Cavani', ',', 'concentration', 'camp', 'survivor', 'discovers', 'former', 'torturer', 'lover', 'working', 'porter', 'hotel', 'postwar', 'Vienna', '.', 'couple', 'attempt', 're-create', 'sadomasochistic', 'relationship', ',', 'former', 'SS', 'comrade', 'begin', 'stalk', '.', 'Operatic', 'disturbing', ',', 'Night', 'Porter', 'deftly', 'examines', 'lasting', 'social', 'psychological', 'effect', 'Nazi', 'regime', '.']"
Mephisto,"['[', ""'Drama"", ""'"", ']', 'German', 'stage', 'actor', 'find', 'unexpected', 'success', 'mixed', 'blessing', 'popularity', 'performance', 'Faustian', 'play', 'Nazis', 'take', 'power', 'pre-WWII', 'Germany', '.', 'associate', 'friend', 'flee', 'ground', 'Nazi', 'terror', ',', 'popularity', 'character', 'supercedes', 'existence', 'find', 'best', 'performance', 'keeping', 'appearance', 'Nazi', 'patron', '.']"
Blue Velvet,"['[', ""'Crime"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Mystery"", ""'"", ',', ""'Thriller"", ""'"", ']', 'discovery', 'severed', 'human', 'ear', 'found', 'field', 'lead', 'young', 'man', 'investigation', 'related', 'beautiful', ',', 'mysterious', 'nightclub', 'singer', 'group', 'criminal', 'kidnapped', 'child', '.']"
The Journey of Natty Gann,"['[', ""'Adventure"", ""'"", ']', 'America', 'depth', 'Great', 'Depression', '.', 'Families', 'drift', 'apart', 'faraway', 'job', 'beckon', '.', 'masterful', ',', 'atmospheric', 'adventure', ',', 'courageous', 'young', 'girl', '(', 'Meredith', 'Salenger', ')', 'confronts', 'overwhelming', 'odds', 'embarks', 'cross-country', 'search', 'father', '.', 'extraordinary', 'odyssey', ',', 'form', 'close', 'bond', 'two', 'diverse', 'traveling', 'companion', ':', 'magnificent', ',', 'protective', 'wolf', ',', 'hardened', 'drifter', '(', 'John', 'Cusack', ')', '.', 'brilliant', ',', 'moving', 'tapestry', ',', 'woven', 'courage', 'perseverance', '.']"
The Jungle Book,"['[', ""'Family"", ""'"", ',', ""'Animation"", ""'"", ',', ""'Adventure"", ""'"", ']', 'boy', 'Mowgli', 'make', 'way', 'man-village', 'Bagheera', ',', 'wise', 'panther', '.', 'Along', 'way', 'meet', 'jazzy', 'King', 'Louie', ',', 'hypnotic', 'snake', 'Kaa', 'lovable', ',', 'happy-go-lucky', 'bear', 'Baloo', ',', 'teach', 'Mowgli', '``', 'Bare', 'Necessities', ""''"", 'life', 'true', 'meaning', 'friendship', '.']"
